Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,23.75,33.57,19.88,21.39,29.7,2565116
2023-01-03,29.51,34.48,23.58,25.62,21.88,3903609
2023-01-04,27.32,32.56,20.17,31.2,24.19,2446250
2023-01-05,25.99,32.66,21.19,22.86,25.02,2112186
2023-01-06,21.56,30.54,18.08,27.77,31.26,2643707
2023-01-09,21.56,32.24,18.51,30.26,23.9,3728677
2023-01-10,20.58,32.66,20.75,28.62,22.95,4622905
2023-01-11,28.66,31.21,21.36,22.63,33.4,2753767
2023-01-12,26.01,31.35,22.2,24.98,20.12,1698787
2023-01-13,27.08,31.89,20.04,30.97,33.97,4632753
2023-01-16,20.21,30.1,22.86,27.76,29.48,4800315
2023-01-17,29.7,31.61,24.02,20.07,31.6,4577450
2023-01-18,28.32,31.06,23.46,30.65,24.12,4151396
2023-01-19,22.12,31.64,18.28,20.49,20.2,4368270
2023-01-20,21.82,30.6,21.36,30.44,30.33,3275419
2023-01-23,21.83,34.45,18.73,22.83,31.68,2908241
2023-01-24,23.04,32.97,19.69,33.41,30.37,3252641
2023-01-25,25.25,33.4,24.91,25.15,22.0,1344126
2023-01-26,24.32,33.95,19.0,24.58,30.55,2678997
2023-01-27,22.91,32.49,21.49,22.08,30.76,4942911
2023-01-30,26.12,30.43,22.33,24.28,29.22,3405514
2023-01-31,21.39,32.69,22.92,32.27,30.73,1913081
2023-02-01,22.92,32.93,21.92,33.95,31.84,2842360
2023-02-02,23.66,33.73,18.07,25.16,28.59,4880140
2023-02-03,24.56,32.16,20.29,26.28,21.24,2137411
2023-02-06,27.85,30.64,21.62,30.11,26.83,2670357
2023-02-07,22.0,31.42,18.62,32.41,21.09,3912511
2023-02-08,25.14,31.82,20.45,28.3,25.71,2745030
2023-02-09,25.92,33.23,18.23,25.48,25.7,3199100
2023-02-10,20.46,32.85,18.55,25.78,20.92,4330922
2023-02-13,26.08,31.78,20.78,29.74,24.88,4699509
2023-02-14,21.71,34.93,18.93,20.05,21.55,2515331
2023-02-15,20.65,33.03,21.97,28.67,31.32,1293851
2023-02-16,29.49,31.19,22.83,24.98,33.27,4869902
2023-02-17,29.66,30.51,23.6,31.12,21.01,4284096
2023-02-20,28.08,30.76,19.4,21.3,33.37,4302198
2023-02-21,23.05,31.23,19.17,28.23,27.32,1297986
2023-02-22,20.98,30.8,18.73,26.73,24.19,3110413
2023-02-23,26.84,30.93,22.46,28.99,21.08,4222437
2023-02-24,24.4,31.43,22.95,20.91,27.01,4766001
2023-02-27,21.22,30.87,18.22,28.12,31.12,3465912
2023-02-28,24.95,34.48,24.55,27.86,29.9,3022784
2023-03-01,20.34,30.4,18.36,27.85,20.7,1853605
2023-03-02,29.09,32.62,21.79,28.45,21.02,2342501
2023-03-03,22.59,32.05,22.96,29.47,25.64,3372948
2023-03-06,26.63,34.91,24.1,31.27,24.13,2315823
2023-03-07,23.12,30.56,23.0,23.78,23.25,4433372
2023-03-08,25.2,31.99,23.61,31.55,23.93,1770692
2023-03-09,25.47,34.85,20.38,26.98,31.25,2673200
2023-03-10,21.85,34.33,23.7,21.08,33.01,1428745
2023-03-13,29.7,34.09,18.56,20.82,25.67,1637787
2023-03-14,27.75,31.29,24.26,24.68,32.69,1673812
2023-03-15,29.39,30.85,21.83,30.99,24.5,3932977
2023-03-16,28.95,33.34,23.72,29.91,26.67,4570118
2023-03-17,25.98,34.65,21.17,31.04,23.16,4603394
2023-03-20,29.22,32.78,22.51,27.24,28.97,3787948
2023-03-21,20.88,32.86,21.68,26.16,33.71,2358126
2023-03-22,21.96,31.4,23.12,22.06,28.45,3422355
2023-03-23,20.45,33.85,18.57,24.59,25.01,4817042
2023-03-24,23.25,30.94,18.42,26.08,29.07,1344866
2023-03-27,23.89,31.62,19.73,21.24,21.72,1775107
2023-03-28,22.71,32.13,19.12,23.09,32.44,1536644
2023-03-29,28.29,32.54,24.1,28.38,27.04,1652416
2023-03-30,23.57,31.21,19.53,30.3,26.29,2016003
2023-03-31,22.81,30.57,24.83,33.98,28.2,4147915
2023-04-03,25.43,33.05,20.36,33.06,28.75,4967258
2023-04-04,21.41,31.44,19.27,29.0,21.0,2534263
2023-04-05,28.02,32.91,23.53,25.9,29.56,3773737
2023-04-06,20.75,30.77,22.61,28.91,23.39,2707542
2023-04-07,29.87,32.41,21.49,31.0,30.0,2892628
2023-04-10,27.72,32.66,21.89,21.66,31.52,2474620
2023-04-11,21.99,30.26,23.03,25.74,31.26,2174846
2023-04-12,20.06,31.68,19.6,31.76,27.74,2992569
2023-04-13,28.15,30.67,24.97,25.37,27.28,2849395
2023-04-14,27.07,30.32,24.82,28.01,22.0,3428759
2023-04-17,27.29,34.95,22.55,28.23,30.85,1989336
2023-04-18,27.71,31.61,19.4,22.58,23.8,1767286
2023-04-19,20.74,34.05,22.76,25.07,26.95,2029933
2023-04-20,23.58,31.27,18.51,24.68,23.98,4017247
2023-04-21,21.16,33.41,18.21,20.37,21.87,4138102
2023-04-24,28.63,33.8,19.8,20.34,28.81,3862943
2023-04-25,26.23,32.98,21.24,31.64,20.76,1966020
2023-04-26,23.31,32.36,24.08,23.82,30.48,3450979
2023-04-27,20.64,32.06,23.09,27.25,24.45,2634925
2023-04-28,23.11,31.74,23.2,24.18,20.0,4905513
2023-05-01,23.25,34.65,20.98,33.17,27.16,3032816
2023-05-02,27.3,34.15,20.42,23.63,20.66,4226985
2023-05-03,26.38,34.83,20.6,26.02,23.87,1061753
2023-05-04,28.87,30.62,24.91,32.22,29.9,3968358
2023-05-05,24.72,33.65,18.28,31.79,20.88,2452879
2023-05-08,21.2,34.69,24.07,22.61,31.75,2472608
2023-05-09,27.13,30.91,22.05,31.24,20.05,2071984
2023-05-10,27.61,30.33,21.07,26.41,23.46,1124116
2023-05-11,25.61,33.71,23.08,26.76,30.37,2022780
2023-05-12,27.71,32.87,21.41,21.87,24.43,1655496
2023-05-15,24.94,34.21,24.11,21.13,21.43,3114565
2023-05-16,25.23,30.7,24.3,30.19,25.04,3735090
2023-05-17,24.28,33.98,20.95,26.95,23.79,4205228
2023-05-18,20.25,31.01,19.94,26.12,31.8,1870946
2023-05-19,21.08,30.82,22.15,30.21,24.39,2104934
2023-05-22,20.31,30.82,24.39,30.72,31.05,3163349
2023-05-23,26.36,34.07,19.47,22.22,32.49,1493992
2023-05-24,23.14,33.33,22.36,28.54,26.07,2796725
2023-05-25,25.09,32.62,22.42,21.89,32.74,3320644
2023-05-26,29.08,31.79,23.13,30.52,25.28,1785833
2023-05-29,22.49,34.39,18.92,29.2,33.5,3523222
2023-05-30,24.1,31.96,23.01,33.39,21.25,1076240
2023-05-31,27.56,34.08,24.36,20.97,29.62,1235595
2023-06-01,22.29,32.2,19.26,20.8,26.91,2571286
2023-06-02,20.77,31.88,19.66,23.95,25.43,4891151
2023-06-05,22.9,32.31,24.8,23.66,28.86,2327042
2023-06-06,21.61,31.51,19.27,23.46,29.85,2948061
2023-06-07,29.3,33.74,23.98,32.69,20.06,4152696
2023-06-08,28.08,32.51,21.45,23.49,22.34,3386814
2023-06-09,26.33,31.16,19.73,23.81,29.98,1838357
2023-06-12,28.71,34.5,24.1,30.63,29.33,1190920
2023-06-13,28.04,31.92,21.12,26.3,33.52,1898332
2023-06-14,21.87,32.72,21.6,30.87,30.65,1879854
2023-06-15,28.93,34.53,20.51,20.92,33.31,4409572
2023-06-16,25.39,33.12,22.15,26.83,29.84,3329228
2023-06-19,28.07,30.58,19.14,20.47,24.17,2071775
2023-06-20,28.96,34.7,20.74,20.88,21.48,3534957
2023-06-21,23.18,33.14,24.79,32.69,30.95,1163187
2023-06-22,21.1,31.67,19.81,21.95,29.02,1455150
2023-06-23,22.28,30.7,22.6,27.45,20.67,1509551
2023-06-26,24.27,33.97,20.28,25.76,25.04,2562518
2023-06-27,28.18,33.1,23.41,24.86,33.4,4855404
2023-06-28,28.61,32.67,18.92,32.6,27.01,2054096
2023-06-29,20.07,34.47,24.79,20.31,26.06,2682678
2023-06-30,25.11,33.94,21.18,29.29,26.41,1167527
2023-07-03,24.17,30.76,19.65,33.49,22.92,3867796
2023-07-04,22.22,31.56,18.51,27.84,25.16,3744804
2023-07-05,21.2,31.24,19.19,33.12,25.18,2587819
2023-07-06,23.38,33.72,21.64,20.73,20.73,2223697
2023-07-07,29.43,30.17,20.36,25.86,30.75,4815005
2023-07-10,23.23,32.85,23.8,23.64,25.83,1987797
2023-07-11,25.19,33.81,21.02,30.23,31.51,2520373
2023-07-12,27.03,34.38,19.74,33.74,31.9,3347296
2023-07-13,23.64,31.71,22.32,23.59,22.97,3162077
2023-07-14,29.72,34.11,22.95,29.16,29.2,3466512
2023-07-17,29.62,30.55,19.17,22.77,26.61,1594557
2023-07-18,22.52,34.23,19.17,27.91,32.32,4045610
2023-07-19,24.97,30.64,18.26,26.5,23.02,1990121
2023-07-20,23.01,31.99,23.15,33.61,29.49,4449330
2023-07-21,22.85,33.99,22.65,28.52,28.51,2399757
2023-07-24,20.37,30.75,21.32,24.89,24.13,2725049
2023-07-25,26.1,31.15,23.91,21.6,21.91,4245705
2023-07-26,25.03,33.61,23.64,22.12,29.12,4651566
2023-07-27,20.51,33.6,22.1,23.15,30.34,4664891
2023-07-28,22.79,33.21,24.08,23.51,24.42,1483442
2023-07-31,29.08,33.47,19.44,31.91,29.03,3927523
2023-08-01,22.4,32.71,18.78,27.86,25.53,2077921
2023-08-02,21.45,31.26,19.89,27.33,29.98,3877128
2023-08-03,24.89,31.73,18.4,21.61,22.79,2420827
2023-08-04,29.86,30.91,21.72,32.04,32.46,2956874
2023-08-07,22.42,34.54,24.56,30.12,24.02,2009869
2023-08-08,26.72,32.92,18.28,20.95,25.15,4931814
2023-08-09,27.62,32.0,18.85,29.91,20.81,1493814
2023-08-10,22.38,32.31,21.17,27.61,21.56,3428462
2023-08-11,27.28,34.74,24.54,21.14,27.22,2751797
2023-08-14,23.68,30.77,20.21,26.42,23.75,1097406
2023-08-15,26.32,32.93,21.55,26.79,31.7,4457170
2023-08-16,26.34,32.53,18.29,22.32,20.21,4061877
2023-08-17,25.36,33.06,19.04,33.24,25.31,4452814
2023-08-18,20.9,30.09,24.91,31.9,24.72,2576317
2023-08-21,28.35,34.36,24.76,29.37,20.27,4772827
2023-08-22,23.21,34.66,18.03,26.47,21.74,3676375
2023-08-23,21.87,32.83,24.66,25.76,25.79,1384583
2023-08-24,20.41,33.48,22.47,29.11,26.9,4844458
2023-08-25,25.91,34.61,24.08,27.64,25.66,2021436
2023-08-28,26.78,33.54,21.18,20.87,27.43,3891912
2023-08-29,20.17,30.76,21.61,27.18,28.33,4161262
2023-08-30,25.12,32.88,21.42,31.29,20.14,2002429
2023-08-31,22.26,33.03,22.67,26.43,26.5,2609184
2023-09-01,26.45,32.12,18.98,20.73,33.49,4719186
2023-09-04,21.74,33.68,18.21,31.01,27.27,2149122
2023-09-05,26.91,34.67,20.16,22.82,29.49,1604489
2023-09-06,23.87,34.63,22.93,23.62,24.37,4143591
2023-09-07,29.37,32.25,19.41,22.31,30.84,3855913
2023-09-08,21.38,30.57,22.71,24.62,30.82,4416512
2023-09-11,23.41,34.92,24.79,30.59,27.3,3328476
2023-09-12,21.13,34.19,18.66,27.27,33.66,1484273
2023-09-13,29.25,30.62,22.71,22.87,21.76,2733985
2023-09-14,28.77,34.6,21.11,32.29,20.24,4544562
2023-09-15,22.58,34.35,24.08,32.31,30.78,4379340
2023-09-18,26.6,32.59,19.24,32.19,31.3,2759989
2023-09-19,28.17,32.96,22.85,23.34,21.68,1919424
2023-09-20,25.55,32.0,23.87,26.32,23.72,3403233
2023-09-21,25.3,30.27,24.61,33.79,20.25,3822236
2023-09-22,22.42,31.68,22.78,30.81,24.11,2191855
2023-09-25,20.93,34.01,21.48,20.38,30.82,4342574
2023-09-26,28.97,30.02,22.32,20.91,27.25,1688332
2023-09-27,29.0,31.67,24.08,26.5,24.87,2452591
2023-09-28,26.33,31.99,21.99,32.73,25.2,1726448
2023-09-29,23.39,32.69,18.21,27.54,20.02,3519284
2023-10-02,23.49,34.6,24.52,26.97,24.2,1070463
2023-10-03,27.26,31.73,22.83,21.48,29.05,3190652
2023-10-04,28.97,31.73,22.74,29.19,33.64,2256348
2023-10-05,28.87,33.69,19.51,31.51,31.86,3658598
2023-10-06,27.8,32.26,22.61,25.33,20.33,2133183
2023-10-09,26.42,31.12,20.76,30.86,32.58,3866457
2023-10-10,20.84,32.26,22.56,33.5,30.96,3430992
2023-10-11,21.62,30.7,18.75,22.85,30.93,1847942
2023-10-12,28.99,30.88,22.6,27.33,26.41,1120076
2023-10-13,26.06,32.49,25.0,24.02,25.57,2107268
2023-10-16,20.09,32.09,18.34,31.1,24.24,1655129
2023-10-17,21.01,34.57,24.84,28.09,20.92,1717104
2023-10-18,26.64,31.81,20.85,28.88,23.2,1802242
2023-10-19,20.05,32.9,24.1,31.17,23.45,1922630
2023-10-20,21.61,33.16,23.48,25.54,26.78,3258233
2023-10-23,25.49,30.07,21.97,32.81,30.46,2160294
2023-10-24,26.92,33.32,23.17,27.46,26.63,2401652
2023-10-25,26.52,30.89,24.15,22.21,20.81,1524480
2023-10-26,22.24,34.81,20.83,29.74,33.41,3344688
2023-10-27,27.12,30.74,20.29,31.11,33.2,1036413
2023-10-30,22.37,32.07,22.67,24.43,30.99,4289616
2023-10-31,23.25,30.43,23.65,32.0,33.88,4709098
2023-11-01,27.46,34.98,23.34,32.69,27.62,3948632
2023-11-02,26.5,32.51,23.58,23.88,33.48,2695994
2023-11-03,28.49,32.98,21.05,33.77,21.06,3672380
2023-11-06,26.58,30.34,23.72,21.97,25.12,4833218
2023-11-07,25.68,33.75,18.84,22.83,23.16,1564430
2023-11-08,20.94,31.05,21.81,22.58,22.74,4668508
2023-11-09,23.68,34.49,18.04,32.52,21.97,3133620
2023-11-10,22.65,31.03,20.27,29.16,28.71,1948202
2023-11-13,22.44,30.95,20.57,22.13,30.94,1666015
2023-11-14,29.73,30.18,20.77,26.16,28.1,4324697
2023-11-15,23.93,32.36,22.87,28.61,22.06,2471867
2023-11-16,28.92,32.82,20.72,21.17,31.36,4024015
2023-11-17,26.31,30.33,21.14,32.35,28.9,1915480
2023-11-20,27.95,33.88,19.66,31.25,25.43,4641141
2023-11-21,25.03,32.27,20.61,27.07,29.44,4381915
2023-11-22,25.77,32.62,19.59,33.54,23.64,1042056
2023-11-23,24.93,32.2,18.51,25.85,24.83,3148983
2023-11-24,21.95,32.0,22.22,33.78,32.84,3942775
2023-11-27,27.22,32.8,22.68,29.35,24.07,1773952
2023-11-28,22.81,30.78,22.34,28.89,26.58,1908380
2023-11-29,20.24,30.91,21.24,22.32,32.46,1426488
2023-11-30,26.45,34.31,20.66,32.35,29.91,1632405
2023-12-01,21.77,34.73,24.04,25.98,20.87,3373967
2023-12-04,29.4,31.87,21.63,22.27,22.06,2337768
2023-12-05,29.54,31.35,21.35,20.18,20.11,4090930
2023-12-06,29.15,33.22,18.18,27.84,28.83,2860971
